Lead_ID,Customer_Name,Age,Gender,Region,Industry,Revenue_Potential,Lead_Source,Stage,Time_Spent_in_Stage_Days,Engagement_Score,Converted,Preferred_Contact_Method,Competitor_Consideration,Marketing_Spend,Discount_Offered,Customer_Feedback
LEAD000001,Customer_1,57,Male,West,Education,51793.77,Event,Awareness,22,68.05,0,Chat,0,2327.06,27.59,Negative
LEAD000002,Customer_2,58,Female,Central,Retail,37685.98,SEO,Awareness,112,75.29,0,None,0,9401.64,22.06,No Feedback
LEAD000003,Customer_3,19,Male,Central,Travel,15832.9,SEO,Interest,2,55.31,0,Chat,0,265.37,18.72,Neutral
LEAD000004,Customer_4,24,Male,Central,Manufacturing,71323.62,Email,Interest,55,23.85,1,None,0,9530.19,29.51,Negative
LEAD000005,Customer_5,72,Male,East,Retail,27182.85,Social Media,Consideration,65,13.47,0,None,1,2667.12,17.3,Positive
LEAD000006,Customer_6,68,Male,West,Finance,42060.27,Social Media,Awareness,101,95.69,0,In-Person,0,3364.36,21.24,Positive
LEAD000007,Customer_7,29,Prefer Not to Say,East,Manufacturing,29337.06,Email,Interest,29,25.38,0,Phone,0,6018.03,25.59,Positive
LEAD000008,Customer_8,33,Female,East,Education,61152.16,Event,Intent,80,25.45,0,None,0,8827.42,19.26,No Feedback
LEAD000009,Customer_9,48,Male,West,Healthcare,1579.64,Referral,Awareness,47,91.2,0,None,0,536.96,7.43,Positive
LEAD000010,Customer_10,37,Female,West,Finance,65742.18,Cold Call,Awareness,88,90.88,0,Chat,0,4292.18,20.42,Positive
LEAD000011,Customer_11,32,Male,West,Manufacturing,41608.34,Email,Awareness,109,48.04,0,Email,0,2359.97,6.63,Positive
LEAD000012,Customer_12,31,Female,West,Finance,71567.29,Website,Interest,57,99.66,0,None,1,9771.48,6.95,Negative
LEAD000013,Customer_13,26,Male,South,Travel,83970.84,SEO,Evaluation,51,17.75,0,Chat,1,5375.14,9.61,Neutral
LEAD000014,Customer_14,34,Male,East,Healthcare,51667.01,SEO,Intent,34,44.19,0,Chat,0,4972.34,10.02,Negative
LEAD000015,Customer_15,36,Prefer Not to Say,South,Education,86986.0,Website,Consideration,44,15.43,0,None,0,3083.39,25.38,Negative
LEAD000016,Customer_16,40,Male,East,Healthcare,13763.19,Cold Call,Interest,111,45.28,0,Email,1,7581.51,13.14,Neutral
LEAD000017,Customer_17,61,Male,Central,Finance,3932.82,Referral,Consideration,71,99.51,1,In-Person,0,4361.32,21.08,Positive
LEAD000018,Customer_18,63,Female,West,Finance,88602.46,Website,Consideration,115,34.16,0,In-Person,0,1952.27,23.02,Negative
LEAD000019,Customer_19,48,Male,South,Healthcare,12223.21,SEO,Consideration,115,44.97,0,Phone,0,3789.3,23.48,Positive
LEAD000020,Customer_20,51,Female,East,Finance,18514.63,SEO,Purchase,18,98.54,0,In-Person,0,6559.02,27.6,Positive
LEAD000021,Customer_21,60,Prefer Not to Say,South,Retail,12563.21,Email,Intent,75,20.03,0,Chat,0,8005.64,29.55,Neutral
LEAD000022,Customer_22,36,Male,North,Education,17549.65,Social Media,Interest,23,68.89,1,None,1,9289.1,21.95,Neutral
LEAD000023,Customer_23,53,Male,South,Travel,89959.59,Cold Call,Purchase,44,55.92,0,Email,0,5238.72,7.09,Positive
LEAD000024,Customer_24,45,Female,North,Education,84868.99,Email,Awareness,77,84.36,0,None,0,5593.53,14.77,Neutral
LEAD000025,Customer_25,18,Male,East,Technology,26919.27,Referral,Consideration,78,49.42,0,None,0,3734.0,22.78,Positive
LEAD000026,Customer_26,42,Female,South,Manufacturing,70611.05,Website,Interest,18,52.31,0,Phone,1,589.24,15.71,Neutral
LEAD000027,Customer_27,32,Male,North,Healthcare,78940.24,Cold Call,Awareness,2,40.65,1,Phone,0,2736.58,18.25,Neutral
LEAD000028,Customer_28,63,Female,West,Education,15910.91,Website,Purchase,45,69.98,1,In-Person,0,9355.48,4.24,Neutral
LEAD000029,Customer_29,58,Female,West,Technology,23203.24,Social Media,Interest,112,65.65,1,In-Person,0,9797.55,5.45,Neutral
LEAD000030,Customer_30,36,Male,Central,Education,48041.72,Social Media,Interest,2,82.25,0,Chat,0,3453.56,11.69,Neutral
LEAD000031,Customer_31,60,Female,West,Retail,63843.9,Cold Call,Awareness,68,44.79,0,None,0,1512.58,14.17,Positive
LEAD000032,Customer_32,38,Male,North,Travel,42368.1,Referral,Intent,81,22.46,0,Chat,0,9973.03,5.06,Positive
LEAD000033,Customer_33,51,Male,West,Healthcare,78384.74,Event,Awareness,78,41.54,0,Chat,0,8567.08,2.24,Negative
LEAD000034,Customer_34,73,Female,Central,Technology,99035.56,Event,Interest,22,88.53,1,In-Person,0,6290.58,12.17,Negative
LEAD000035,Customer_35,54,Female,West,Technology,86547.83,Cold Call,Interest,80,67.83,0,Email,0,8884.82,4.9,Neutral
LEAD000036,Customer_36,35,Female,South,Retail,85230.98,Cold Call,Awareness,63,81.36,1,In-Person,0,3712.19,4.92,No Feedback
LEAD000037,Customer_37,71,Female,West,Education,20557.77,Referral,Intent,73,64.79,1,None,0,4649.8,17.5,Negative
LEAD000038,Customer_38,65,Female,North,Education,90493.12,SEO,Intent,79,81.27,0,Email,1,2102.06,11.06,Positive
LEAD000039,Customer_39,61,Male,North,Manufacturing,99101.32,Social Media,Purchase,97,53.03,1,None,0,8626.69,16.39,Positive
LEAD000040,Customer_40,23,Female,South,Education,56796.85,Website,Interest,3,9.98,0,In-Person,0,249.34,2.81,Positive
LEAD000041,Customer_41,28,Female,South,Finance,76130.66,Social Media,Interest,4,51.87,0,Chat,1,2684.98,25.24,Neutral
